;CAL;DRHO;DTC;GR;NPHI;PE;RHOB;RT;SP;DEPT
0;13.4376;-0.0647;108.6;27.875;0.26389;4.3436;2.1387;1.3154;-73.875;5821
1;13.4376;-0.0647;108.6;27.875;0.26389;4.3436;2.1387;1.3154;-73.875;5821.1524
2;13.5938;0.05612;90.6;29.7129;0.22754;4.2925;2.3748;0.7837;-69.1875;5821.3048
3;13.5938;0.05612;90.6;29.7129;0.22754;4.2925;2.3748;0.7837;-69.1875;5821.4572
4;13.5938;0.05612;90.6;29.7129;0.22754;4.2925;2.3748;0.7837;-69.1875;5821.6096
5;13.5939;0.08862;76.9;30.5604;0.2619;3.9563;2.4733;0.4785;-66.75;5821.762
6;13.5939;0.08862;76.9;30.5604;0.2619;3.9563;2.4733;0.4785;-66.75;5821.9144
7;13.5939;0.08862;76.9;30.5604;0.2619;3.9563;2.4733;0.4785;-66.75;5822.0668
8;13.5939;0.08862;76.9;30.5604;0.2619;3.9563;2.4733;0.4785;-66.75;5822.2192
9;13.6954;0.03302;80;30.5723;0.31677;3.6052;2.3661;0.3853;-62.1875;5822.3716
10;13.6954;0.03302;80;30.5723;0.31677;3.6052;2.3661;0.3853;-62.1875;5822.524
11;13.6954;0.03302;80;30.5723;0.31677;3.6052;2.3661;0.3853;-62.1875;5822.6764
12;13.8282;0.01186;101.2;32.5264;0.33977;3.481;2.2501;0.3731;-58.5;5822.8288
13;13.8282;0.01186;101.2;32.5264;0.33977;3.481;2.2501;0.3731;-58.5;5822.9812
14;13.8282;0.01186;101.2;32.5264;0.33977;3.481;2.2501;0.3731;-58.5;5823.1336
15;13.8986;0.00679;87.7;31.7148;0.32123;3.7017;2.1831;0.5049;-57.4062;5823.286
16;13.8986;0.00679;87.7;31.7148;0.32123;3.7017;2.1831;0.5049;-57.4062;5823.4384
17;13.8986;0.00679;87.7;31.7148;0.32123;3.7017;2.1831;0.5049;-57.4062;5823.5908
18;13.8986;0.00679;87.7;31.7148;0.32123;3.7017;2.1831;0.5049;-57.4062;5823.7432
19;13.9923;0.00452;77.2;32.6621;0.25647;3.9534;2.1826;1.1279;-56.125;5823.8956
20;13.9923;0.00452;77.2;32.6621;0.25647;3.9534;2.1826;1.1279;-56.125;5824.048
21;13.9923;0.00452;77.2;32.6621;0.25647;3.9534;2.1826;1.1279;-56.125;5824.2004
22;14.0478;0.01324;74.3;33.2686;0.2179;4.2068;2.2692;2.1543;-55.0625;5824.3528
23;14.0478;0.01324;74.3;33.2686;0.2179;4.2068;2.2692;2.1543;-55.0625;5824.5052
24;14.0478;0.01324;74.3;33.2686;0.2179;4.2068;2.2692;2.1543;-55.0625;5824.6576
25;15.3535;0.04762;72.2;34.2578;0.18744;4.1209;2.4153;2.1602;-56.1875;5824.81
26;15.3535;0.04762;72.2;34.2578;0.18744;4.1209;2.4153;2.1602;-56.1875;5824.9624
27;15.3535;0.04762;72.2;34.2578;0.18744;4.1209;2.4153;2.1602;-56.1875;5825.1148
28;17.4536;0.06549;69.7;37.5879;0.1901;3.9748;2.5424;2.2227;-58.6875;5825.2672
29;17.4536;0.06549;69.7;37.5879;0.1901;3.9748;2.5424;2.2227;-58.6875;5825.4196
30;17.4536;0.06549;69.7;37.5879;0.1901;3.9748;2.5424;2.2227;-58.6875;5825.572
31;17.4536;0.06549;69.7;37.5879;0.1901;3.9748;2.5424;2.2227;-58.6875;5825.7244
32;18.125;0.06763;66.1;39.6602;0.19809;4.0897;2.5717;2.3652;-61.875;5825.8768
33;18.125;0.06763;66.1;39.6602;0.19809;4.0897;2.5717;2.3652;-61.875;5826.0292
34;18.125;0.06763;66.1;39.6602;0.19809;4.0897;2.5717;2.3652;-61.875;5826.1816
35;17.7647;0.04623;69.7;45.0957;0.22266;4.0115;2.5264;2.3984;-63.375;5826.334
36;17.7647;0.04623;69.7;45.0957;0.22266;4.0115;2.5264;2.3984;-63.375;5826.4864
37;17.7647;0.04623;69.7;45.0957;0.22266;4.0115;2.5264;2.3984;-63.375;5826.6388
38;16.4356;0.01696;98.5;47.1953;0.24771;3.8667;2.3895;2.0781;-65;5826.7912
39;16.4356;0.01696;98.5;47.1953;0.24771;3.8667;2.3895;2.0781;-65;5826.9436
40;16.4356;0.01696;98.5;47.1953;0.24771;3.8667;2.3895;2.0781;-65;5827.096
41;16.4356;0.01696;98.5;47.1953;0.24771;3.8667;2.3895;2.0781;-65;5827.2484
42;14.1794;0.01831;118.8;50.0488;0.28003;3.6521;2.2877;1.6543;-65.6875;5827.4008
43;14.1794;0.01831;118.8;50.0488;0.28003;3.6521;2.2877;1.6543;-65.6875;5827.5532
44;14.1794;0.01831;118.8;50.0488;0.28003;3.6521;2.2877;1.6543;-65.6875;5827.7056
45;13.9924;0.04466;124.1;51.1836;0.30666;3.5466;2.2186;1.4189;-67.0625;5827.858
46;13.9924;0.04466;124.1;51.1836;0.30666;3.5466;2.2186;1.4189;-67.0625;5828.0104
47;13.9924;0.04466;124.1;51.1836;0.30666;3.5466;2.2186;1.4189;-67.0625;5828.1628
48;14.165;0.0602;124.7;52.6484;0.32831;3.3632;2.1687;1.3477;-56.8125;5828.3152
49;14.165;0.0602;124.7;52.6484;0.32831;3.3632;2.1687;1.3477;-56.8125;5828.4676
50;14.165;0.0602;124.7;52.6484;0.32831;3.3632;2.1687;1.3477;-56.8125;5828.62
51;14.8052;0.08208;138.2;53.4613;0.35339;3.3084;2.1574;1.3477;-45.8125;5828.7724
52;14.8052;0.08208;138.2;53.4613;0.35339;3.3084;2.1574;1.3477;-45.8125;5828.9248
53;14.8052;0.08208;138.2;53.4613;0.35339;3.3084;2.1574;1.3477;-45.8125;5829.0772
54;14.8052;0.08208;138.2;53.4613;0.35339;3.3084;2.1574;1.3477;-45.8125;5829.2296
55;15.1582;0.0983;113.7;53.5762;0.38568;3.1975;2.1884;1.3623;-45.6875;5829.382
56;15.1582;0.0983;113.7;53.5762;0.38568;3.1975;2.1884;1.3623;-45.6875;5829.5344
57;15.1582;0.0983;113.7;53.5762;0.38568;3.1975;2.1884;1.3623;-45.6875;5829.6868
58;16.4414;0.08705;116.8;55.4463;0.41049;3.3301;2.2506;1.3301;-45.1562;5829.8392
59;16.4414;0.08705;116.8;55.4463;0.41049;3.3301;2.2506;1.3301;-45.1562;5829.9916
60;16.4414;0.08705;116.8;55.4463;0.41049;3.3301;2.2506;1.3301;-45.1562;5830.144
61;19.1885;0.06995;109;56.2725;0.40393;3.3321;2.3148;1.2607;-43.875;5830.2964
62;19.1885;0.06995;109;56.2725;0.40393;3.3321;2.3148;1.2607;-43.875;5830.4488
63;19.1885;0.06995;109;56.2725;0.40393;3.3321;2.3148;1.2607;-43.875;5830.6012
64;20.0459;0.05716;107.4;57.3574;0.34244;3.3419;2.3462;1.2227;-43.1562;5830.7536
65;20.0459;0.05716;107.4;57.3574;0.34244;3.3419;2.3462;1.2227;-43.1562;5830.906
66;20.0459;0.05716;107.4;57.3574;0.34244;3.3419;2.3462;1.2227;-43.1562;5831.0584
67;20.0459;0.05716;107.4;57.3574;0.34244;3.3419;2.3462;1.2227;-43.1562;5831.2108
68;19.0449;0.04984;106.4;58.9497;0.30462;3.3788;2.3347;1.2168;-44.625;5831.3632
69;19.0449;0.04984;106.4;58.9497;0.30462;3.3788;2.3347;1.2168;-44.625;5831.5156
70;19.0449;0.04984;106.4;58.9497;0.30462;3.3788;2.3347;1.2168;-44.625;5831.668
71;17.7654;0.04597;105.3;59.3189;0.30037;3.3222;2.2943;1.2148;-42.9375;5831.8204
72;17.7654;0.04597;105.3;59.3189;0.30037;3.3222;2.2943;1.2148;-42.9375;5831.9728
73;17.7654;0.04597;105.3;59.3189;0.30037;3.3222;2.2943;1.2148;-42.9375;5832.1252
74;17.4995;0.05251;120.9;59.3926;0.31802;3.2927;2.2688;1.2217;-44.0625;5832.2776
75;17.4995;0.05251;120.9;59.3926;0.31802;3.2927;2.2688;1.2217;-44.0625;5832.43
76;17.4995;0.05251;120.9;59.3926;0.31802;3.2927;2.2688;1.2217;-44.0625;5832.5824
77;17.4995;0.05251;120.9;59.3926;0.31802;3.2927;2.2688;1.2217;-44.0625;5832.7348
78;16.875;0.05576;132.2;60.5459;0.35464;3.1465;2.2568;1.2383;-43.0312;5832.8872
79;16.875;0.05576;132.2;60.5459;0.35464;3.1465;2.2568;1.2383;-43.0312;5833.0396
80;16.875;0.05576;132.2;60.5459;0.35464;3.1465;2.2568;1.2383;-43.0312;5833.192
